الشكل جميل فقط, 0 '
'افضل صابونه علي الاطلاق, 1 '
'اعجبني بشده وانصح به جميع من يعانون من الام في الظهر وخاصة الاشخاص الذين لا يستطيعون اقامة ظهرهم بالشكل الطبيعي المطلوب, 1 '
'سعره مرتفع للغاية, 0 '
'بسم الله الشكليه حلوه لكن عيبها الجوده مو المطلوب وبصراحه بصوره شي والحقيقه شي اخر والله يوفقك الجميع, 0 '
'تم تجربته لعدة شهور جهاز روعة وسريع لم يقابلني اي مشكلة به والحمد لله, 1 '
'منتج ممتاز جدا وسهل الاستخدام, 1 '
'ده بالرسيفر ولا بدون لل كمبيوتر, 1 '
'الفرش جدا جميله وعمليه وسعرها جدا مناسب من افضل الفرش الي استخدمتها انصح فيها بشدة وتم وصولها بافضل حاله اسعدني التعامل معك, 1 '
'سيئة جدا و غير مطابقة للمواصفات المذكورة كمان أن الشاحن لا يعمل تقريبا به كسر او غير صالج للاستخدام, 0 '
'سلعة رائعه وجديدة لكن لم تضع قائمة الالوان التي عندك لكي يقوم الزبون باختيار اللون المناسب له, 1 '
'انا وصلني اربعه وصلات بس وليس 8 وصلات, 1 '
'السلعة جيدة و أنصح بها, 1 '
'ممتازة أعجبتني كثيرا لكن صلة الوصل بين القاعدة والذراع ضعيفة فانكسرت الممسحة بسرعة, 1 '
'ممتازه جدا انها رائعه للتصوير وومتازه جدا انصح بها الجميع خاصة المصورين بتكون لهم جدا ممتازه وتضبط للمناظر, 1 '
'اداء الالة رائع جدا وسهل وتقوم بصنع البيتزا بجودة عالية وسرعة, 1 '
'جهاز ممتاز جدا وانصح به, 0 '
'إذا كان يعمل وتم اختبارة فهو جيد حتي يتم اختباره لمدة عمل طويلة, 0 '
'المنتج ممتاز جدآ خصوصآ لمن هم اصحاب الخطوط الطويله جدآ ممتاز وانصح الكل بعدم تفويت هالمنتج رغم ان البائع جزاه الله خير لم يفصح بمعلومات كثيره عن المنتج وفيه من الفؤاد الكثيره في الالم الظهر الخ الا انني بختصر وانصح الكل بإستخدامة, 1 '
'جودة سيئية للشنطة نفسها وجميع الادوات داخل الشنطة بل حتى ان الادوات داخل العلبة متفككة وليست ثابته في اماكنها لا انصح بالشراء, 0 '
'إيجابيات و سلبيات سلعة جيدة وصلت بحاله جيدة كما معلن عنها وبنفس المواصفات, 1 '
'ليست حافظه للحراره وليست كما في الصورة, 0 '
'الانتاج يحتاج لعناية اكثر خاصة اللمسات الاخيرة, 0 '
'تصميم رائع يفتقد الجودة, 0 '
'ابتكار جميل لفصل الصفار عن الزلال بطريقه سريعة وسهلة ممتازة خامة جيده وسهلة الاستعمال, 1 '
'الجهاز جيد و عملي للاستعمال المتوسط اهم شي تركيبة الدهان و تخفيفة حسب نوعه اذا الدهان سميك رح يتعب الجهاز و ممكن ينحشر الصمام و اذا خفيف ماممكن رح تحتاج تدهن اكثر من وجه انا استخدمت دهان ايميلشن سيلك فينيش استخدمت تقريبا نصف لتر ماء مع لترو ربع دهان و كانت النتيجة جيدة و الماتور كان مرتاح و لكن بعض الاحيان كنت اعمل وجهين بسبب وجود اثار اقلام حبر على الجدران تنظيف الجهاز سهل اغسل العلبة البيضا بالماء و الصابون بعد ذلك املائها ماء مع صابون و اشبكها عالجهاز و شغله و رش حتى تنظف الصمامام الداخلي بعدين اغسل القطع البلاستيكية غسيل عادي بالماء والصابون, 1 '
'قلنالكم غير جيد ويؤلم الأذن وغير مريح وسعره عالي جدا بالنسبة للسماعات الأخرى, 0 '
'سعرها فى المحلات 550 جنيه واصلية وشكلها تحفة سعرها مرتفع جدا عن المحلات فى المحلات 550 جنيه واصلية وشكلها تحفة سعرها مرتفع جدا عن المحلات, 0 '
'عدم ارفاق شفرات معه لتجربته هو اهم عيوبه, 0 '
'سعر ممتاز, 1 '
'مميزة جدا و عصرية و الهدايا التي جاءت مع الطلب دليل على رقي الاخ البائع الكريم و ستكون فرصة جميلة للشراء منه مرة اخرى, 1 '
'منتج جميل كما تم وصفه, 1 '
'خفيفة وغير ثابتة لا تدوم طويلا رائحتها خفيفة تكاد لا تشعر بها لا تدوم على الملابس لن اقوم بشرائها مرة اخرى ولا انصح بشراءها, 0 '
'سلعه سيئه والبائع اسلوبه سئ للغايه ولا انصح بها ولا اعطيه نجمه واحده, 0 '
'ليس عملي, 0 '
'انصح به لصديق و قريب, 1 '
'السلعه غير جديده ولم استفيد منها بشيء ﻻنه ناقصه ولا يمكنى تجميعها للاستفاده منها علما انى اشتريتها على اساس السلعه جديده, 0 '
'السلعة وصلت كما ذكر في الوصف, 1 '
'جيد جدا ويعطيك العافيه, 1 '
'ممتاز وسعره مناسب جدا بالنسبه لامكانياته والتوكيل محترم, 1 '
'لا يمكن إستخدامها إلا في قدر مسطح تماما ويجب أن يكون مستوى إرتفاع الطعام فيه محدد لا يزيد ولا ينقص كما أن الكثافة إن زادت لا تدور اليد وإن قلت تناثر الطعام, 0 '
'اعجبني الشكل لكن جودته لاتناسب سعره, 0 '
'اقل من صفر تشتغل يوم وتوقف أسبوع مو عارف مزاجية ولا ايش نظامها, 0 '
'هذا الفستان اعجبني جدا لانه مريح في اللبس وخفيف ع الجسم واللونين البيج والاسود متناسقه ورايقه وناعمه وموديله بسيط وحلو, 1 '
'لعبة تستحق التجربة وبي سعر قليل لا يضرك أن تقول اسعر كبير لكن في المحلات الأخرى في كل لعبة سعره ٣٠٠ للمعلوميه اللعبة جديدة لا مستعملة, 1 '
'لم يعجبني على الإطلاق, 0 '
'بعد ماتم شرائها من سوق كوم بشهر واحد فقط ظهرت بها عيوب بدأت تتشقق ومع الاستخدام بدأت تفرز مادة لزجه واثرت سلبا على الهاتف مع غلق وفتح المحفظه لاحضت هذه الماده تغطي الشاشه باكملها لاانصح بشرائها بتاتا مع ان السعر ليس ببسيط ولاكنها اتضح لي انها تقليد وليست اصليه لاتستحق ايونجمه, 0 '
'غالي علي الامكانيات البسيطة, 0 '
'صوتها كويس ولاكن وصلتها صغيرة ولا تتحمل اقل شئ يقطعها و يبقة السماعة ما لها فائدة, 1 '
'اسواعطر مايستاهل المبلغ سيئ جداجدا, 0 '
'منتج لااباس به, 1 '
'السلعه سيئه من وجهة نظري وليس لها أي فائده, 0 '
'عدم وضوح الشاشةعدم التحكم بالعبسرعة العطب, 0 '
'وصلتني بحالة ممتازة وتعمل بشكل رائع القلم ساعدني في تقليل كمية الأوراق التي أحتفظ بها بعد الإنتهاء من المادة و الرغبة بتخزين ملخصاتها, 1 '
'البائع قام بالشحن في نفس اليوم, 1 '
'منتج رائع جدا وانصح فيه, 1 '
'الكاميرا ضعيفة والجهاز يعلق احيانا, 0 '
'القلم لايطابق المواصفات المذكورة, 0 '
'رائعة جدا والتعامل مع خدمة الزبائن راق جدا جدا, 1 '
'غير عملى وصعب الاستخدام ولم استطع استخدامه بالرغم من وجود هواء جيد, 0 '
'اختراع ذكي و سهل ورخيص ويمكنك من الاستغناء عن اختبارات المختبرات الكبيرة, 1 '
'ممتازة بصراحه مريحة خاصتا في الخرجات الي من غير عربية, 1 '
'خفيف الوزن ومصنوع من الالمنيوم, 1 '
'جوده المنتج رائعه الاوان جميله جدا جدا ومواكبه للموضه والوانها كثيره, 1 '
'جيد جدا وعملي, 1 '
'مفيدة جدا في المطبخ وتستاهل سعرها, 1 '
'رائعة أصلية 100, 1 '
'معقول بس الصوت ضعيف, 0 '
'اللعبة ليست الأصلية, 0 '
'هي ممتازة لرحلات السفر, 1 '
'رائع وسهل الاستخدام, 1 '
'ممتازة ومناسبة لفك البراغي الصغيرة والمتوسطة بسهولة, 1 '
'سيء للغايه ومقلده ولاتتعرف علي الكمبيوتر, 0 '
'انصح أصدقاء في لن جدا رائع شكراااااااا سوق كوم على خدمتكم المميزة, 1 '
'ممتازة تلبي الاحتياجات المطلوبة رائعة و مريحة انصح بشرائها و شكرا جزيلا, 1 '
'جميل وسهل الاستخدام وسهل الاحتفاظ به, 1 '
'عندما استلمتها فتحت مغلف شركة الشحن كان يظهر من شكل السلعة انها استخدمت من قبل مستعملةوعندما بدأت استخدم الجهاز في اول مرة كان جيدا ثم في اليوم التالي من الشراء اصبح لا يعمل من الأساس فعرفت لم تخلا عنه صاحبه وانا اريد ان اتحدث مع صاحب السلعة, 0 '
'سلك قصير و الصوت سئ و التغليف سئ جدا, 0 '
'المنتج ممتاز وابلغت صديقي, 1 '
'لايصلح فى الفيلات ولاالمنازل وذلك لقصر الطول غير مناسب, 0 '
'الألوان ليست كما تظهر في الإعلان مطلقا, 0 '
'رخيصة ويمكن ربطها بأي جهاز عن طريق البلوتوث يوجد تشويش في السماعه و البطارية تفرغ بسرعه تحتاج لشحنها اكثر من مرة في اليوم, 0 '
'هذه السلعة مناسبة للأطفال فهي تمتص البلل بشكل جيد خاصة إذا تم اختيار المقاس المناسب كذلك على عكس الأنواع الأخرى هذه الحفاظات ليست معطرة وهذا إيجابي, 1 '
'ممتاز بائع جاد انصح التعامل معه, 1 '
'جيده والشكل جميل وخفيفة الوزن وعمليه, 1 '
'المنتج لم يكون بجود عاليه, 0 '
'كل الامكانيات كويسة ماعدا الرام 512 ميجا, 0 '
'احببت هذه السللعه كثيرا ممتازه, 1 '
'سرعة شحن الحقيبة والاهتمام بها انصح بالتعامل مع البائع شكر خاص لدوت كوم الاهتمام بتوصيل السلعة دون الحاجة لشركات الشحن, 1 '
'وايد خايس و مب اصلي و مايشتغل و انكسر من اول ما ركبتا, 0 '
'سيئة اللاصقة تخدش بسرعة, 0 '
'سيء جدا جدا ومضحك علينا بالسعر, 0 '
'ضعيفه لا تقوم بالشحن الا لمرتين فقط على الرغم من انها 12000, 0 '
'سيئه للغايه, 0 '
'اشتريت المنتج وليس له اى فائده عمليه ولا ينظف لان جودته رديئه ولا يستحق المبلغ المدفوع ولا انصح احد بشرائه, 0 '
'لا تكفي لاكثر من ثلاث او اربع بطاقات والسعر مبالغ فيه يعني حوالي 100 ريال, 0 '
'سعر ممتاز وقيمة ممتازة وايضا علامة تجارية جيدة جدا والتوصيل وقتة جيد نطلب المزيد من العروض الجيدة, 1 '
'جيده ومناسه, 1 '
'رائع و انصح بيه للشباب لتمارين الاطاله و العقله, 0 '
'تصميم جميل وتغليف رائع, 1 '
'السلعه سيئه ولا تصلح للاستخدام البطاريه جدا ضعيفه بشكل عام السلعه غيرجيده استخدمت الموبايل لفتره قصيره لصعوبة استخدامه ك موبايلي عادي ولا توجد به اي مميزات واللون الذهبي عالاطراف غير مكتمل يشبه الموبايلات المقلده واعتقد انه تقليد مب اصلي, 0 '
'شكرا لتوفير هذه الغترة الرائعة وأتمنى زيادة عدد القطع المعروضة للبيع فهذه المرة الثانية التي أقوم بشراء هذه السلعة, 1 '
'عمليه جدا وتسهل علي مستخدمها وضع فرشاته في مكان امن و شكل جميل, 1 '
'رديئه جدا ومافي جوده و الصناعه جدااا رديئة ولا تشحن الا مره وحده فقط, 0 '
'السلعة ممتازة ممتاز, 1 '
'قمة في الروعة والسعرر جدا ممتاز على الجوده والنوعيه, 1 '
'الصورة و الوصف يختلف تماما عن السلعة التي استلمتها, 1 '
'لوحه الكترونيه ممتازه للتحكم بالدوائر الصغيره ينصح بها من هم فوق سن عشر سنوات وبامكان الشخص البحث في اليوتيوب لمعرفه فوائدها التعليمية, 1 '
'لا أنصح بشراء أى منتجات من هذا البائع حيث أنه غير محترم ولا يحترم الزبون ويتأخر فى شحن السلع المشتراه, 0 '
'ممتاز جدا جدا و يغنيك عن فحص السيارة بالكمبيوتر عند الورش بـ 100ريال أو 150 ريال, 1 '
'فكرة رائعة جدا سريعة للبروفوشنل والمبتدئة والصبايا والأطفال فكرة ذكية نظافة الصبع على الأصابع شكر خاص للبائع الصادق وشكر خاص لــ سوق كوم, 1 '
'لم يناسب معي, 0 '
'احس انه معروفه رائحته ولاانصح به, 0 '
'أولا هذا المنتج لا يوجد بيه هيتر سخان فهو يعتمد على كهربة المياه بطرفين موجب و سالب مما يؤدى إلى نأيين المياه آى فصل مكوناته إلى هيدروجين و أكسجين آى أنك ستشرب مواد كيمائية تأثيرها خطير على الجسم ثانيا غير آمن مطلقا فلو أنك وضعت ملعقة معدن أو لمست المياه و هو موصل بالكهرباء ستصعقك بالكهرباء و هو تحذير مكتوب أسفل المنتج بالانجليزية و لذلك فالمنتج معه ملعقة بلاستيك من نفس خامة الإناء هذا المنتج تركى و لا يوجد يه مفتاح لفصله و لا لمبة بيان و لا يفصل أتوماتيكى, 0 '
'جراب لايحفي الهاتف كليا ازته ثقيله صينييه درجه رديئه لا انصح به افضل ان تقتنو حافظه كامله للجهاز افضل من هذه, 0 '
'سيئ جدا لاأنصح به صديق, 0 '
'أقلام رائعة جدا لتغطية خدوش الأثاث الخشبي والأرضيات أنصح الجميع باستعمالها, 1 '
'1 100, 0 '
'جدآ رائعة و صلتني في الوقت المحدد, 1 '
'وصلني الفستان جميل مطابق للصوره اعجبني بس القماش كان خفيف شوي لو يكون اثقل احلى الطلب وصلني بعد ١٤ يوم من شرائه, 0 '
'منظم لادوات التنظيف, 1 '
'عملي والبطاريه تدوم وصغير وتتش جيد, 1 '
'شماغ رائع ومميز, 1 '
'شو نوع الجهاز صيني ولا ياباني ممكن تفيدوني, 0 '
'مناسبه للأطفال نظرا لحجمها, 0 '
'جميل ولكن يحتاج لقليلا من الطول لان طوله الحالي ليس الطول الستندر لفساتين السهرة, 1 '
'سيئ جدا جدا جدا كتقييم عام و تفصيلا الكاميرا لا تصل ابدا ل 13 ميجا بيكسل و رديئه فى الاماكن المغلقه و لا تصل ل 1 ميجا من الاساس و الوانها غير طبيعية و جودة الصورة عموما سيئه الذاكرة الداخلية ليست 4 جيجا بايت و انما 16 جيجا بايت الهاتف يسخن جدا عند تشغيل الانترنت مع 3 و يفصل الشريحة التى تشغل الانترنت فيكون بلا قيمة من الاساس الشبكة ال 3 موجودة على الشريحة الاولى فقط لا يمكن تحديث النظام الى اصدارات احدث من نظام الاندرويد ال غير دقيق بالمره فهناك فرق فى االمكان الذى يظهرك فيه بحوالى 400 او 600 متر دائما ولا يصدف ان يظهرك فى مكانك و لو مره واحده, 0 '
'جميع منتجات السلامة لطفل ممتازة, 1 '
'سعرو مرتفع جدا ما يستحق الـ35, 0 '
'تستحق الاقتناء, 1 '
'لا انصح بشرائها مطلقا تعطلت من ثاني يوم دخل الماء واختفت الشاشة غير عملية ساعة الفجر تفوقها بكثييييييييييير وعليها صمان دولي لمدة سنة وانصح بشرائها من مكان موثوق يضمن حقك, 0 '
'جميلة وخامتها ممتازة ومناسبة لي كثير وزنها خفيف وسعرة جيد جدا واقل من السوق التجاري بكثر وانصح الشباب وبستخدام سوق لشراء العديد من اللوازم فخيراته كثيرة جدا وتصل البضعاعة بسرعة كبيرة, 1 '
'جهاز سيئ جدا منتج رديئ وجوده رديئه ولا يستحق اى مبلغ ولا انصح به احد, 0 '
'هذا المنتج عباره عن كيس حافظه للايباد اير القديم و ليست كفر و بالتالي فهي لا تناسب الايباد إير ٢, 0 '
'السماعه رديئه جدا ولكن مع التجربه مع سماعه اخرى اصليه الصوت جيد والسماعه ليست اصليه والكاتالوج ليس متوافق مع السماعه, 0 '
'جهاز دقيق في النتائج وبامكانك اختيار نوعية القراءة مرة واحدة أو ثلاث مرات ويعطيك المتوسط الحسابي للقراءات, 1 '
'البانر العلوي المسئول عن تثبيت القطعة بأعلى الباب مصنوعة من البلاستيك, 0 '
'الاضاءه ضعيفه جدا ولا تستمر اكثر من ساعه, 0 '
'سلعة سيئة للغاية ولا تصلح ختى لسيارات الاطفال وليس لها أي فائدة ولا تستحق أكثر من ريالين وحسبنا الله ونعم الوكيل في هذا البائع, 0 '
'الساعة صغيرة الحجم الدائرة فيها 4 سم فقط, 0 '
'ممتاز والسعر مناسب, 0 '
'بائع سريع جدا ومنتج اكثر من رائع, 1 '
'جودة ممتازة ولكن للتنعيم فقط, 0 '
'منتج ردئ, 0 '
'شنطه لاى حاجه غير لاب توب, 0 '
'انصح بعدم شراؤه سلعه سيئه للغاية وغير دقيق, 0 '
'منتج اكثر من رائع, 0 '
'السلعة مناسبه وجميلة واتمنى ان تشحن السلعة, 1 '
'ممتازة حيث تدخل في عدة استخدامات توليع فحم وتحمير حلويات وكرملة سكر مع احساس بالامان في استخدامها وتمتاز بالهدوء, 1 '
'السلعة ممتازه وانصح بشراءها, 1 '
'السلعة غير جيدة ولا انصح احد بشرائها, 0 '
'ارجو شرح طريقه عمل الساعه لانني لم استطيع معرفه كيفيه استعمالها, 0 '
'سهولة الاستخدام وسهولة حملها ولا تحتاج لمساعدة الاخرين, 1 '
'السلعة ممتازه جدآجدآ وأنصح الجميع بشراء هذا المنتج لانه يوفر عليك عناء الخروج في الشمس وفي حال وجودك في الشقة فهو مناسب جدآ لك وفي حال سقوط المطر فهو مناسب جدآ جدآ, 1 '
'الماء يتسرب منها, 0 '
'الجهاز جميل جدا من حيث التعامل وشكل الجهاز وحجمه لكن بعض التطبيقات اللي كنت مستخدمها في الايباد ميني متغيره نوعا ما في الجهاز هذا وكمان النت والتحميل هنا نوعا ما ثقيل حيث ياخذ الكتاب الواحد هنا قرابة الخمس دقايق في التنزيل مقارنة بالايباد ميني اياخد دقيقة او اقل بس جدا في المجمل, 1 '
'السلعة جيدة ولكن ليست السعلة التى اختارتها مو اول مرة تسوها معى, 0 '
'وسعره غالي بالنسبه لتجاري, 0 '
'المنتج جيد جدا, 1 '
'غير جيد الدقه والوضوح سيئة, 0 '
'منتج جيد و بائع ممتاز انصح بالتعامل معه, 1 '
'منتج رائع جدا يساعد على تنظيف زيت و نظام الوقود الخاص بالسيارة, 1 '
'أنصح به لمواصفاته العالية وسعره المميز, 1 '
'الشفط و الطرد ضغيف للغاية و لا أنصح بهذه السلعة, 0 '
'انا اشتريت 2 واحده طلع صوتها سيئ والتانيه الريموت اللى بيعلى ويوطى مش شغال اصلا وكمان علبه من العلبتين مكسوره, 0 '
'المنتج من افضل الكراسي اللي ممكن الطفل يستخدمها, 1 '
'رأيي السلعة مقبوله ولكن السلبية الكبرى هي لا يوجد طريقة لتعليقها على الجدار او الباب فأنا حاولت واتبعت كتيب الارشادات ولم تفلح مع الطرق ولا توجد طريقة واضحة بالكتيب, 0 '
'الصينية صغيرة جدا بالنسبة للسعر, 0 '
'سلعة جميلة لمن هم مهتمون بوجبة الفطور وليس لديهم الوقت للوقوف وصنع البيض, 1 '
'ضعيفة الفعالية جدا و اقصى ما يمكن ان تفعله ان ترفع قدرة البطارية بمقدار لا يزيد عن 10, 0 '
'رأيت هذه السلعة في أسواق التجهيزات الصوتية بسعر لا يتعدى ال 1150 ريال سعودي, 0 '
'الكشاف يعمل قبل شحنه وعندما تفرغ البطارية لا يعمل لأن دائرة الشحن بها خلل, 0 '
'مناسب جدا لحفظ مفاتيح جميع أبواب المنزل يتميز بقوة الخشب المصنوع منه ويعيبه فقط عدم امكانية اقفاله بقفل, 1 '
'التسليم ممتاز ولكن الجهاز يتوقف عن العمل كثيرا اما فى بداية التشغيل أو بعد فترة من التشغيل أو عند إيقاف العمل عليه يهنج, 0 '
'سيئه قوة الشفط ضعيفة جدا, 0 '
'تمام, 1 '
'رائع جدا واتمنى ان اجد كثيرا من انتاج المصمم, 1 '
'المنتج جيد جداوالسعر اكثر من جيد, 0 '
'عطر مغشوش الريحة ماتجلس ساعه, 0 '
'غير مناسب لى, 0 '
'عملي يمكن اسخدامه في السيارة والبيت شحن جيد بطارية جيدة وكان من الأفضل وجود وصلة شحن الأجهزة معه, 1 '
'إيجابيات و سلبيات شاحن سيارات يو اس بي لي اجهزة سامسونج, 0 '
'الجهاز جيد ولكن شحنه وهمي ويخلص بسرعه ولا ادري وش السبب, 0 '
'السلعة سهلة الاستخدام ولكن لا تعمل علي التيار الكهربي مباشرة, 1 '
'رائع وتوصيل سريع بائع مميز وراجع لهذا المتجر مرة اخرى اشكركم على هذه الجودة, 1 '
'سلعة جيدة وتحافظ على حماية خلفية الجوال وعدسة الكميرا من الخدوش اثناء الشحن بالاضافة الى سهولة متابعة الاتصالة لوجوده في شكل افقي اثناء الشحن, 1 '
'مركون في المطبخ, 0 '
'ممتازة ورائعه جدا, 1 '
'جيد من ناحية تركيبة العطر ورائحته جميلة ولكن غير فواح لفترة طويلة ولا يتميز بالتركيز والثبات على الملابس أو الجسم ربما غير مناسب للمناطق الحارة أو هذا طلب الوكيل أن يكون بهذه الدرجة من التركيز الغير قوي بالامكان طلب نوعين من الشركة المصنعة نوع قوي ومركز ونوع خفيف كهذا لمن يعانون من حساسية أو التهاب جيوب أنفية مع الفرق في السعر شكرا, 0 '
'غير جيده وخفيفه جدا ولا انصح بها ابدا, 0 '
'ماشاء الله جميلة و ساعدتني في العرض الصور و الأفلام, 1 '
'صناعه سيئه, 0 '
'مناسب بالنسبة لسعره, 0 '
'ممتاز وسعرة مناسب جدا, 1 '
'منتج جيد وجودة وصناعة المنتج جدا ممتازه, 1 '
'عمر قصير للبطارية لم يتعدي عمر التشغيل ثلاثة اسابيع ولم تعد ذات قيمة لا انصح اي احد بها الا في حالة واحدة وهي ضرورة الاستخدام لسفر قصير, 0 '
'هذه السلعة جيدة نوعا ما ولكن بعد الشراء اتضح لي بأن سعرها مبالغ فيه نظرا للخامات ونوعية هذه المخدة والقطعة السوداء التي تغطي العين, 0 '
'حصلت عليه باقل من الف ريال من موقعهم, 0 '
'اشتريت هذا المنتج من سوق و لم استخدمها استخدام سيئ مثل تالتحميل الزائد عليها او ما شبه, 0 '
'جهاز رائع يمتاز بصوت منخفض وخيارات كثيره للاستخدام, 1 '
'الازرار بتعلق, 0 '
'غير عمليه والخامه سيئه و السسته ضعيفه و الحواجز بين الاحذيه غير فعاله و ضعيفه, 0 '
'تواليت للحلاقة رائحة سلبية, 0 '
'سيئة لاختلاف مواصفاتها, 0 '
'خامة رديئة تتمزق بسرعة مقاس صغير جدا ولا يناسب الناس البالغين أبدا, 0 '
'جهاز رائع فعلا دقة الوضوح عاليه جدا وجميع ملحقاته كانت كامله, 0 '
'سلعة مفيدة وخامة مميزة وسعر مميز جدا أرجو آلا يزيد السعر حتى يستفيد الكثير من المنتج أنصح به غيرى بثقة, 0 '
'منتج ممتاز, 1 '
'كاميرا كومباكت رخيصة وكل مزاياها موجودة في الجوالات الحديثة بتفوق وخاصة الطرازات العالية كالآيفون والجلكسي وغيرها, 0 '
'تنظيف الشعر منها مزعج البطارية غير ثابتة بل تنفك اثناء الاستخدام و كذلك المثبتات الجانبية تنفك غير ثابيتة لا تبدو جديدة, 0 '
'تقييم خرطوم الماء المتمدد المرن خفيفه لا تأخذ حيز سريعة التلف والتمزق تأخر وصولها الى 14 يوم على العموم ممتازه نوعا ما و سأشتري آخر قريبا, 1 '
'هل الثلاث عدادات الامامية تعمل ام, 0 '
'السلعه جيده ولاكن السعر مبالغ فيه, 0 '
'الأدوات أجزاء ذات جودة وأدوات أخرى ليست ذات جودة على الإطلاق لا أنصح بشراءها لصديق, 0 '
'بصراحه جميل يضيف رائحه جميله وبياض وتوصيل ماظول فوق الاسبوعين, 1 '
'بعد تركيبة بيومان بداء ظهوار هواء داخلي, 0 '
'تمت تجربتها على سيارة صغيرة وليس لها اي فائدة, 0 '
'فضيع وجميل الوانه ان شاء الله بشتري علبه الاخري الوانه, 1 '
'جميله و رائعه و انصح باستخدامها, 1 '
'هذي السماعات من اروع السماعات التي عرفتها واتمنى من الاخوة في متجر فحص احد السماعات لديهم للتاكد من موضوع المسافة, 1 '
'كم ورد في الوصف, 1 '
'لا أنصح بشرائها لأنك تستطيع شراء نوع آخر أفضل بنفس السعر فهذه سجادة لاتقي من الشمس خاصة إذا صليت في باحة المسجد في الظهر, 0 '
'سيء جدا ويستهلك كمية كبيرة من البطاريات لازم تركب بطارية جديدة كل يوم لو تبيه يشتغل كويس وبتلاحظ صعوبة استخدامه واستهلاكه العالي للبطاريات, 0 '
'شاشة متازة انصحكم بقتنائها لفورد تورس 2013 2015, 1 '
'الساعه لا تقاوم حتى قطرة ماء تمر عليها ايضا لونها يروح بسرعه شكلها جميل ويوحي بالقوة وهي عكس ذلك وسعرها مبالغ فيه مره, 0 '
'سلعة ممتاز وتعمل كما هو ممصم لها مجال عملها في توصيلات الاجهزة التي تدعم التوصيل بنظام 30 و صغيرة الحجم لاتستهلك مجال في المازر بورد, 1 '
'انصح فيه جدا الوانه روعه وثابته, 1 '
'رااااااااااااااائعه ودرجة الوانها أجمل من الصوره انصح الكل انو مايتردد يشتريها فوراااااا المسكارا والرموش والشادو وأيضا فرشة الشادو جودتها ممتازه, 1 '
'جيدة وعملية وتقوم بشد ترهلات الجسم وخاماتها ممتازة لكن مشكلتها انها صعبة في الارتداء, 1 '
'يعطيكم الف عافيه السلعه ممتازه, 1 '
'جهاز كل مايميزة خفه وزنه فقط ولكن عيبه الذاكرة الداخليه ليست 16 جيجا ولكن 4 جيجا فقط مع ان عرضكم يقول انها 16 جيجا ولكن الحقيقه غير زلك, 0 '
'قمت باستعمال منتجات كثيره لازاله خدش بالسياره بدون فائده, 1 '
'الماكينه سيئه للغايه لا تصلح لإنسان بالشكل التى هى قامه منكم الى, 0 '
'ضعيفة للغاية لصنع الرغوة سيئة الصنع قصيرة العمر الافتراضي سيئة, 0 '
'نوعيه ممتازه رائحه منديل ملمسه ناعم ورائحته زكيه وهو عباره عن منديل مرطب مع لوشن وانا معجب من سوق لسرعه التوصيل انا اشكرا علي الموضوع دا, 1 '
'قلم رائع, 1 '
'في الصورة موجود ولكن الأصل لا يوجد فيه, 0 '
'السلعة غير جيدة و العصا التى يتم تركيبها فى المنتصف كحامل لها لا يمكن رفع الملاحة منها لانها سوف تنكسر, 0 '
'إيجابيات و سلبيات ترابيزة الاب توب للاستعمال ف اي مكان, 0 '
'انصح فيها وجدا سعرها مناسب, 1 '
'روعه ومطابقه للصوره, 1 '
'المنتج غير عملي و معرض للتلف سريعا, 0 '
'سلعة ممتازة ورائعة وعملية جدا وشكلها فخم للضيافه, 1 '
'سلعة ممتازة وجسم قوى وتثبيت قوى على سطح املس وذراع معدنى يزيدها قوة, 1 '
'السلعه صغيره جدا ومفيش اي بكر استرتش ع قدها, 0 '
'اعتقد ان هذه العطور غير اصلية, 0 '
'مجموعة متنوعة وممتاز مناسب للسفر, 1 '
'وصلتنى السلعة وعند تجربتها تبين وجود مشكلة فى مقياس الهواء بها, 0 '
'لاب توب مناسب وحلو للاستخدام الشخصي, 1 '
'ممتازة جدا بالنسبة لسعرها البسيط, 1 '
'منتج جيد جدا وانصح بإقتنائة ولكن عدد القطع قليل ولكن جيدا عموما, 1 '
'منتج لايصلح لاجهزه التاب لانه لايتحمل الوزن وغير صلب, 0 '
'ساعة سيئة جدا ولا يأتي معها كتيب للتركيب حيث جودتها سيئه للغاية, 0 '
'سهلة الاستخدام جدا و نوعيتها ممتازه و اللون طبيعي جدا مع لون البشره لا يظهر أي اختلاف في اللون حتى لو لم أستخدم كريم أساس حيث بامكاني استخدامها يوميا ولا يتوجب علي وضع مكياج او كريم اساس معها, 1 '
'عند فتح العلبة البطارية ضعيفة لا تعمل لأكثر من 10 دقائق, 0 '
'رائع وانصح به للذي يملك ترهلات فقط, 1 '
'ممتاز جدا وقوته حقيقية, 1 '
'71, 1 '
'السلعة سيئة جدا جدا, 0 '
'لا انصح بشرائها لانها لايوجد لها ضمان و لا مركز صيانه جودتها رديئه, 0 '
'الصراحة تعبنا من الأكواب التقليدية وأنا عندي تجارب كثيرة مع الأكواب سواءا بإنسكابها أو سهولة كسرها لكن مع كونتيقو غييير جربتها والآن عندي أكثر من سنة وبنفس الكفاءة وأشتريت لأسرتي منها وكان رأيهم إيجابي عنها ومتوفرة بعد بأشكال وألوان جذابة وهذا الشي إلا نبغاه في الأكواب, 1 '
